进程：249	应用层不可访问进程：13

进程名称		进程ID		父进程ID		进程路径		应用层访问		文件厂商		文件描述		启动时间		
[System Process]		0		0		获取进程完整路径失败		拒绝		信息缺失		信息缺失		信息缺失		
System		4		0		获取进程完整路径失败		拒绝		信息缺失		信息缺失		信息缺失		
winlogon.exe		92		872		C:\Windows\System32\winlogon.exe		??		Microsoft Corporation		Windows 登录应用程序		2021/04/15  21:44:49		
Registry		120		4		获取进程完整路径失败		拒绝		信息缺失		信息缺失		信息缺失		
smss.exe		448		4		C:\Windows\System32\smss.exe		拒绝		Microsoft Corporation		Windows 会话管理器		信息缺失		
svchost.exe		512		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  22:17:11		
svchost.exe		728		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
csrss.exe		776		760		C:\Windows\System32\csrss.exe		拒绝		Microsoft Corporation		Client Server Runtime Process		信息缺失		
wininit.exe		880		760		C:\Windows\System32\wininit.exe		拒绝		Microsoft Corporation		Windows 启动应用程序		信息缺失		
csrss.exe		888		872		C:\Windows\System32\csrss.exe		拒绝		Microsoft Corporation		Client Server Runtime Process		信息缺失		
services.exe		952		880		C:\Windows\System32\services.exe		拒绝		Microsoft Corporation		服务和控制器应用		信息缺失		
lsass.exe		960		880		C:\Windows\System32\lsass.exe		??		Microsoft Corporation		Local Security Authority Process		2021/04/15  21:44:49		
svchost.exe		1032		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
fontdrvhost.exe		1056		92		C:\Windows\System32\fontdrvhost.exe		??		Microsoft Corporation		Usermode Font Driver Host		2021/04/15  21:44:50		
fontdrvhost.exe		1064		880		C:\Windows\System32\fontdrvhost.exe		??		Microsoft Corporation		Usermode Font Driver Host		2021/04/15  21:44:50		
WUDFHost.exe		1120		952		C:\Windows\System32\WUDFHost.exe		??		Microsoft Corporation		Windows 驱动程序基础 - 用户模式驱动程序框架主机进程		2021/04/15  21:44:50		
svchost.exe		1184		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
svchost.exe		1232		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
svchost.exe		1304		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
dwm.exe		1316		92		C:\Windows\System32\dwm.exe		??		Microsoft Corporation		桌面窗口管理器		2021/04/15  21:44:50		
PerfWatson2.exe		1328		19508		C:\vs2017\Common7\IDE\PerfWatson2.exe		??		Microsoft Corporation		PerfWatson2.exe		2021/04/15  22:49:09		
svchost.exe		1388		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
svchost.exe		1412		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
svchost.exe		1420		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
svchost.exe		1428		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
ServiceHub.VSDetouredHost.exe		1440		20460		C:\vs2017\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.VSDetouredHost.exe		??		Microsoft		ServiceHub.Host.CLR.x86		2021/04/15  22:49:18		
svchost.exe		1512		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
svchost.exe		1580		952		C:\Windows\System32\svchost.exe		??		Microsoft Corporation		Windows 服务主进程		2021/04/15  21:44:50		
